money_supply_growth_pct,crude_oil_price,import_volume_index,interest_rate,inflation_index
3.1,71.4,80.8,6.2,3.3
4.8,74.7,125.6,5.8,7.09
14.6,104.5,114.5,9.1,7.06
12.0,110.8,109.7,7.4,8.08
8.5,46.5,135.3,2.3,8.54
3.0,48.9,108.5,6.7,6.29
5.0,50.4,81.7,7.9,4.16
11.1,70.5,133.3,8.3,7.75
12.6,118.7,100.9,10.0,6.85
3.5,93.6,124.8,7.8,7.27
14.6,111.5,128.1,5.8,8.21
9.0,111.3,136.9,2.7,10.4
14.5,69.5,133.6,2.1,9.98
9.2,53.0,144.8,3.2,10.18
7.6,53.2,139.4,5.9,9.29
8.0,112.9,102.2,5.0,7.96
2.6,73.1,125.7,9.0,6.15
13.7,70.5,128.6,3.7,9.94
13.2,84.6,141.1,7.1,9.77
14.8,101.5,131.5,7.7,8.05
9.9,99.7,104.8,8.3,5.1
14.8,65.5,98.4,6.2,5.52
9.0,67.5,87.9,5.6,4.18
12.5,100.6,136.3,9.9,7.08
10.1,43.9,118.7,9.2,5.75
